patternSignature,patternReadable,currentEligible,manual31ColumnCount,manual65PatternCount,lpColumnCount,positiveLpActivity,coveredResidualOrders,coveredResidualQuantity,coverageScarcity,missingResidualWidths,wastePerCar,targetResidualWastePerCar,wasteFit,demandDualUpperBound,lpPoolDensityRank,orderCoverageFrontierRank,lpDualWeightedRank
"4360|980x1,1080x2,1220x1","{980=1, 1080=2, 1220=1} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","8","81","0.016201555","1","240","228.466257669","0.079784630","4.630637060",,"14736","81"
"4350|550x1,840x1,860x1,1015x1,1080x1","{550=1, 840=1, 860=1, 1015=1, 1080=1} @4350mm (pw=4345, util=99.9%)","false","0","0","0","0.000000000","6","26","0.002515491","2","255","228.466257669","0.036319073","4.630346590",,"42766","82"
"4350|840x3,850x1,980x1","{840=3, 850=1, 980=1} @4350mm (pw=4350, util=100.0%)","true","0","0","3","0.022370344","15","175","0.028171141","0","250","228.466257669","0.044377893","3.367889173","82","5329","3541"
"4380|1060x1,1090x1,1100x1,1130x1","{1060=1, 1090=1, 1100=1, 1130=1} @4380mm (pw=4380, util=100.0%)","true","0","0","0","0.000000000","18","304","0.077621495","0","220","228.466257669","0.105638367","1.720895705",,"82","40207"
"4310|970x1,1090x1,1100x1,1150x1","{970=1, 1090=1, 1100=1, 1150=1} @4310mm (pw=4310, util=100.0%)","true","0","0","0","0.000000000","20","305","0.077602377","0","290","228.466257669","0.015991367","1.761733077",,"83","39116"
"4350|1060x1,1090x1,1100x2","{1060=1, 1090=1, 1100=2} @4350mm (pw=4350, util=100.0%)","true","0","0","3","0.020014433","16","299","0.076246358","0","250","228.466257669","0.044377893","1.676450598","83","98","41321"
"4380|760x1,1080x1,1220x1,1320x1","{760=1, 1080=1, 1220=1, 1320=1} @4380mm (pw=4380, util=100.0%)","false","0","0","0","0.000000000","3","16","0.002561076","2","220","228.466257669","0.105638367","4.630049909",,"42338","83"
"4300|1000x2,1100x1,1200x1","{1000=2, 1100=1, 1200=1} @4300mm (pw=4300, util=100.0%)","true","0","0","3","0.000000000","21","243","0.061123723","0","300","228.466257669","0.013786687","1.822184555","84","1213","37431"
"4310|860x1,1050x1,1080x1,1320x1","{860=1, 1050=1, 1080=1, 1320=1} @4310mm (pw=4310, util=100.0%)","false","0","0","0","0.000000000","2","8","0.001478879","2","290","228.466257669","0.015991367","4.625138648",,"49344","84"
"4360|980x1,1000x1,1100x1,1280x1","{980=1, 1000=1, 1100=1, 1280=1} @4360mm (pw=4360, util=100.0%)","true","0","0","0","0.000000000","28","324","0.077596101","0","240","228.466257669","0.079784630","2.051569321",,"84","30664"
"4310|980x1,1100x2,1130x1","{980=1, 1100=2, 1130=1} @4310mm (pw=4310, util=100.0%)","true","0","0","3","0.000000000","21","294","0.070882661","0","290","228.466257669","0.015991367","1.612392349","85","510","42930"
"4330|980x1,1000x1,1100x1,1250x1","{980=1, 1000=1, 1100=1, 1250=1} @4330mm (pw=4330, util=100.0%)","true","0","0","0","0.000000000","28","324","0.077465281","0","270","228.466257669","0.023510746","2.125126443",,"85","28559"
"4360|780x1,1015x1,1080x1,1480x1","{780=1, 1015=1, 1080=1, 1480=1} @4360mm (pw=4355, util=99.9%)","false","0","0","0","0.000000000","1","1","0.000564016","3","245","228.466257669","0.057032890","4.624278029",,"53739","85"
"4320|740x1,1100x1,1240x2","{740=1, 1100=1, 1240=2} @4320mm (pw=4320, util=100.0%)","false","0","0","3","0.000000000","17","258","0.070193681","1","280","228.466257669","0.019035385","1.812506065","86","598","37726"
"4390|550x1,760x1,980x1,1000x1,1100x1","{550=1, 760=1, 980=1, 1000=1, 1100=1} @4390mm (pw=4390, util=100.0%)","true","0","0","0","0.000000000","30","343","0.077418662","0","210","228.466257669","0.051370942","2.150292905",,"86","27792"
"4390|550x1,790x1,1015x3","{550=1, 790=1, 1015=3} @4390mm (pw=4385, util=99.9%)","false","0","0","0","0.000000000","2","27","0.002369002","1","215","228.466257669","0.069126378","4.617562483",,"43648","86"
"4320|840x2,850x2,940x1","{840=2, 850=2, 940=1} @4320mm (pw=4320, util=100.0%)","false","0","0","3","0.000000000","8","98","0.013274643","1","280","228.466257669","0.019035385","2.163077302","87","19295","27414"
"4340|1080x3,1100x1","{1080=3, 1100=1} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","12","212","0.054611025","1","260","228.466257669","0.030737318","4.607014926",,"3664","87"
"4390|790x1,1100x1,1240x1,1260x1","{790=1, 1100=1, 1240=1, 1260=1} @4390mm (pw=4390, util=100.0%)","true","0","0","0","0.000000000","21","288","0.077393778","0","210","228.466257669","0.051370942","2.222342758",,"87","25601"
"4310|970x1,980x1,1100x1,1260x1","{970=1, 980=1, 1100=1, 1260=1} @4310mm (pw=4310, util=100.0%)","true","0","0","0","0.000000000","25","317","0.077368116","0","290","228.466257669","0.015991367","2.457769265",,"88","19005"
"4330|940x1,1100x2,1190x1","{940=1, 1100=2, 1190=1} @4330mm (pw=4330, util=100.0%)","false","0","0","3","0.000000000","13","216","0.055842552","1","270","228.466257669","0.023510746","1.046514738","88","3227","52305"
"4390|840x1,1015x1,1050x1,1480x1","{840=1, 1015=1, 1050=1, 1480=1} @4390mm (pw=4385, util=99.9%)","false","0","0","0","0.000000000","6","14","0.002670946","1","215","228.466257669","0.069126378","4.606739247",,"41893","88"
"4300|1050x1,1060x1,1090x1,1100x1","{1050=1, 1060=1, 1090=1, 1100=1} @4300mm (pw=4300, util=100.0%)","true","0","0","0","0.000000000","17","303","0.077166110","0","300","228.466257669","0.013786687","2.335340402",,"89","22374"
"4330|980x1,1100x2,1150x1","{980=1, 1100=2, 1150=1} @4330mm (pw=4330, util=100.0%)","true","0","0","3","0.000000000","21","299","0.072367935","0","270","228.466257669","0.023510746","1.677396508","89","359","41299"
"4360|600x1,860x1,870x1,1015x2","{600=1, 860=1, 870=1, 1015=2} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","1","4","0.000559128","3","240","228.466257669","0.079784630","4.606736668",,"53983","89"
"4320|840x2,1320x2","{840=2, 1320=2} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","4","9","0.001187178","1","280","228.466257669","0.019035385","4.603380858",,"51317","90"
"4360|760x1,1100x1,1240x1,1260x1","{760=1, 1100=1, 1240=1, 1260=1} @4360mm (pw=4360, util=100.0%)","true","0","0","0","0.000000000","22","286","0.077049980","0","240","228.466257669","0.079784630","2.595622282",,"90","15599"
"4380|850x4,980x1","{850=4, 980=1} @4380mm (pw=4380, util=100.0%)","true","0","0","3","0.000000000","11","166","0.026983963","0","220","228.466257669","0.105638367","1.404040405","90","5500","47444"
"4320|1015x2,1050x1,1240x1","{1015=2, 1050=1, 1240=1} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","6","50","0.016502407","1","280","228.466257669","0.019035385","4.599496144",,"14102","91"
"4350|550x2,1060x1,1090x1,1100x1","{550=2, 1060=1, 1090=1, 1100=1} @4350mm (pw=4350, util=100.0%)","true","0","0","0","0.000000000","17","312","0.077015543","0","250","228.466257669","0.044377893","1.591593096",,"91","43453"
"4390|840x4,1030x1","{840=4, 1030=1} @4390mm (pw=4390, util=100.0%)","false","0","2","2","2.000000000","4","9","0.001187178","1","210","228.466257669","0.051370942","4.066169657","91","51310","514"
"4310|1015x2,1080x1,1200x1","{1015=2, 1080=1, 1200=1} @4310mm (pw=4310, util=100.0%)","false","0","0","0","0.000000000","1","2","0.000626763","2","290","228.466257669","0.015991367","4.598763499",,"53502","92"
"4390|850x1,1060x1,1240x2","{850=1, 1060=1, 1240=2} @4390mm (pw=4390, util=100.0%)","true","0","0","2","1.285714286","10","151","0.031434826","0","210","228.466257669","0.051370942","2.242106622","92","4670","25023"
"4400|550x1,600x1,1060x1,1090x1,1100x1","{550=1, 600=1, 1060=1, 1090=1, 1100=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","17","312","0.077015543","1","200","228.466257669","0.033937123","1.753480152",,"92","39349"
"4350|870x1,1015x1,1140x1,1320x1","{870=1, 1015=1, 1140=1, 1320=1} @4350mm (pw=4345, util=99.9%)","false","0","0","0","0.000000000","2","6","0.001676446","3","255","228.466257669","0.036319073","4.591071566",,"48239","93"
"4390|1000x1,1050x1,1100x1,1240x1","{1000=1, 1050=1, 1100=1, 1240=1} @4390mm (pw=4390, util=100.0%)","true","0","0","0","0.000000000","26","291","0.076999367","0","210","228.466257669","0.051370942","2.650438717",,"93","14297"
"4390|790x1,1100x1,1250x2","{790=1, 1100=1, 1250=2} @4390mm (pw=4390, util=100.0%)","true","0","0","2","1.229864067","14","232","0.058282666","0","210","228.466257669","0.051370942","1.785781984","93","1776","38485"
"4380|780x1,1100x1,1250x2","{780=1, 1100=1, 1250=2} @4380mm (pw=4380, util=100.0%)","false","0","0","2","1.000000000","13","218","0.056682848","1","220","228.466257669","0.105638367","2.081646345","94","2563","29772"
"4380|980x1,1000x1,1100x1,1300x1","{980=1, 1000=1, 1100=1, 1300=1} @4380mm (pw=4380, util=100.0%)","true","0","0","0","0.000000000","28","322","0.076919011","0","220","228.466257669","0.105638367","1.924546610",,"94","34445"
"4390|550x1,860x1,950x1,1015x2","{550=1, 860=1, 950=1, 1015=2} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","2","17","0.001328313","2","210","228.466257669","0.051370942","4.590585119",,"49850","94"
"4300|980x1,1000x1,1100x1,1220x1","{980=1, 1000=1, 1100=1, 1220=1} @4300mm (pw=4300, util=100.0%)","true","0","0","0","0.000000000","28","322","0.076698515","0","300","228.466257669","0.013786687","2.719777957",,"95","12835"
"4350|600x1,1250x3","{600=1, 1250=3} @4350mm (pw=4350, util=100.0%)","false","0","0","2","0.827601950","1","6","0.002071823","1","250","228.466257669","0.044377893","2.210924599","95","45835","25953"
"4390|1015x1,1050x1,1080x1,1240x1","{1015=1, 1050=1, 1080=1, 1240=1} @4390mm (pw=4385, util=99.9%)","false","0","0","0","0.000000000","6","50","0.016502407","2","215","228.466257669","0.069126378","4.580396981",,"14113","95"
"4300|970x1,1090x1,1100x1,1140x1","{970=1, 1090=1, 1100=1, 1140=1} @4300mm (pw=4300, util=100.0%)","true","0","0","0","0.000000000","20","301","0.076418411","0","300","228.466257669","0.013786687","2.365323255",,"96","21536"
"4370|1090x3,1100x1","{1090=3, 1100=1} @4370mm (pw=4370, util=100.0%)","true","0","0","2","0.503708123","15","283","0.072481652","0","230","228.466257669","0.394673123","1.555050115","96","320","44321"
"4380|1015x1,1080x2,1200x1","{1015=1, 1080=2, 1200=1} @4380mm (pw=4375, util=99.9%)","false","0","0","0","0.000000000","1","2","0.000626763","2","225","228.466257669","0.223901099","4.579664337",,"53455","96"
"4360|600x1,840x1,890x1,1015x2","{600=1, 840=1, 890=1, 1015=2} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","4","9","0.001187178","3","240","228.466257669","0.079784630","4.575780564",,"51483","97"
"4380|1080x1,1100x3","{1080=1, 1100=3} @4380mm (pw=4380, util=100.0%)","false","0","0","2","0.452873301","12","212","0.054611025","1","220","228.466257669","0.105638367","2.440339755","97","3661","19484"
"4390|1050x1,1090x1,1100x1,1150x1","{1050=1, 1090=1, 1100=1, 1150=1} @4390mm (pw=4390, util=100.0%)","true","0","0","0","0.000000000","18","297","0.076261816","0","210","228.466257669","0.051370942","2.191357221",,"97","26558"
"4330|870x1,1015x1,1220x2","{870=1, 1015=1, 1220=2} @4330mm (pw=4325, util=99.9%)","false","0","0","0","0.000000000","1","4","0.001305057","2","275","228.466257669","0.021037687","4.575698982",,"50156","98"
"4350|980x2,1090x1,1300x1","{980=2, 1090=1, 1300=1} @4350mm (pw=4350, util=100.0%)","true","0","1","2","0.333333333","11","152","0.034292678","0","250","228.466257669","0.044377893","1.945691596","98","4218","33796"
"4340|1060x1,1090x2,1100x1","{1060=1, 1090=2, 1100=1} @4340mm (pw=4340, util=100.0%)","true","0","0","0","0.000000000","16","299","0.076246358","0","260","228.466257669","0.030737318","1.742466580",,"99","39634"
"4340|780x1,1015x1,1220x1,1320x1","{780=1, 1015=1, 1220=1, 1320=1} @4340mm (pw=4335, util=99.9%)","false","0","0","0","0.000000000","1","4","0.001305057","3","265","228.466257669","0.026642694","4.571733909",,"50247","99"
"4400|550x3,760x1,980x1,1010x1","{550=3, 760=1, 980=1, 1010=1} @4400mm (pw=4400, util=100.0%)","false","0","0","2","0.262141942","10","102","0.016921702","1","200","228.466257669","0.033937123","1.677044782","99","13414","41310"
"4310|1060x2,1090x1,1100x1","{1060=2, 1090=1, 1100=1} @4310mm (pw=4310, util=100.0%)","true","0","0","0","0.000000000","16","299","0.076246358","0","290","228.466257669","0.015991367","1.929883045",,"100","34274"
"4370|1060x2,1125x2","{1060=2, 1125=2} @4370mm (pw=4370, util=100.0%)","true","0","0","2","0.240142511","2","22","0.005522175","0","230","228.466257669","0.394673123","1.641384791","100","28722","42232"
"4400|1015x2,1150x1,1220x1","{1015=2, 1150=1, 1220=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","3","14","0.004165469","1","200","228.466257669","0.033937123","4.567339577",,"33292","100"
"4330|1060x1,1080x1,1090x1,1100x1","{1060=1, 1080=1, 1090=1, 1100=1} @4330mm (pw=4330, util=100.0%)","false","0","0","0","0.000000000","16","299","0.076246358","1","270","228.466257669","0.023510746","2.759788184",,"101","11994"
"4360|760x1,840x3,1080x1","{760=1, 840=3, 1080=1} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","6","21","0.002443197","1","240","228.466257669","0.079784630","4.565404105",,"43320","101"
"4400|850x4,1000x1","{850=4, 1000=1} @4400mm (pw=4400, util=100.0%)","true","0","0","2","0.239130435","12","118","0.017973399","0","200","228.466257669","0.033937123","1.448911400","101","11438","46561"
"4320|1060x1,1070x1,1090x1,1100x1","{1060=1, 1070=1, 1090=1, 1100=1} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","16","299","0.076246358","1","280","228.466257669","0.019035385","1.772565145",,"102","38836"
"4390|550x3,760x1,980x1,1000x1","{550=3, 760=1, 980=1, 1000=1} @4390mm (pw=4390, util=100.0%)","true","0","0","2","0.147631110","18","131","0.022807637","0","210","228.466257669","0.051370942","2.065435403","102","6356","30227"
"4390|870x1,1080x1,1220x2","{870=1, 1080=1, 1220=2} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","1","4","0.001305057","2","210","228.466257669","0.051370942","4.556599820",,"50125","102"
"4320|1015x2,1070x1,1220x1","{1015=2, 1070=1, 1220=1} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","1","4","0.001305057","2","280","228.466257669","0.019035385","4.554004859",,"50158","103"
"4370|970x1,1060x1,1100x1,1240x1","{970=1, 1060=1, 1100=1, 1240=1} @4370mm (pw=4370, util=100.0%)","true","0","0","0","0.000000000","21","286","0.076218700","0","230","228.466257669","0.394673123","2.218430951",,"103","25707"
"4380|860x4,940x1","{860=4, 940=1} @4380mm (pw=4380, util=100.0%)","false","0","0","2","0.061459883","1","4","0.000559128","1","220","228.466257669","0.105638367","3.083188794","103","53846","6513"
"4300|840x1,1090x1,1100x1,1270x1","{840=1, 1090=1, 1100=1, 1270=1} @4300mm (pw=4300, util=100.0%)","true","0","0","0","0.000000000","20","299","0.076178691","0","300","228.466257669","0.013786687","2.013701531",,"104","31778"
"4400|780x1,1080x1,1220x1,1320x1","{780=1, 1080=1, 1220=1, 1320=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","1","4","0.001305057","3","200","228.466257669","0.033937123","4.552634746",,"50231","104"
"4400|950x1,1100x2,1250x1","{950=1, 1100=2, 1250=1} @4400mm (pw=4400, util=100.0%)","false","0","1","2","0.057466017","13","218","0.056682848","1","200","228.466257669","0.033937123","2.128331579","104","2568","28472"
"4300|550x1,860x2,1015x2","{550=1, 860=2, 1015=2} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","2","17","0.001328313","1","300","228.466257669","0.013786687","4.552165497",,"49808","105"
"4370|550x1,740x1,980x1,1000x1,1100x1","{550=1, 740=1, 980=1, 1000=1, 1100=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","28","331","0.076162644","1","230","228.466257669","0.394673123","1.649002376",,"105","42022"
"4380|1090x2,1100x2","{1090=2, 1100=2} @4380mm (pw=4380, util=100.0%)","true","0","0","2","0.055112180","15","283","0.072481652","0","220","228.466257669","0.105638367","1.489034133","105","321","45769"
"4350|550x1,860x1,980x3","{550=1, 860=1, 980=3} @4350mm (pw=4350, util=100.0%)","true","0","2","2","0.052368890","9","94","0.016224811","0","250","228.466257669","0.044377893","2.548580565","106","14616","16756"
"4390|550x1,760x1,1015x2,1050x1","{550=1, 760=1, 1015=2, 1050=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","4","29","0.002944955","1","210","228.466257669","0.051370942","4.547295063",,"39874","106"
"4340|840x1,1015x1,1220x1,1260x1","{840=1, 1015=1, 1220=1, 1260=1} @4340mm (pw=4335, util=99.9%)","false","0","0","0","0.000000000","8","29","0.008092516","1","265","228.466257669","0.026642694","4.544836838",,"23283","107"
"4340|980x2,1190x2","{980=2, 1190=2} @4340mm (pw=4340, util=100.0%)","true","0","0","2","0.045312632","8","81","0.016128025","0","260","228.466257669","0.030737318","1.836418539","107","15006","37032"
"4370|1000x1,1030x1,1100x1,1240x1","{1000=1, 1030=1, 1100=1, 1240=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","25","287","0.076079616","1","230","228.466257669","0.394673123","2.246158214",,"107","24904"
"4300|550x3,760x1,910x1,980x1","{550=3, 760=1, 910=1, 980=1} @4300mm (pw=4300, util=100.0%)","false","0","0","2","0.000000000","10","102","0.016921702","1","300","228.466257669","0.013786687","1.470368793","108","13424","46157"
"4350|1015x1,1050x1,1140x2","{1015=1, 1050=1, 1140=2} @4350mm (pw=4345, util=99.9%)","false","0","0","0","0.000000000","3","10","0.002596198","1","255","228.466257669","0.036319073","4.544407610",,"42155","108"
"4360|1000x1,1020x1,1100x1,1240x1","{1000=1, 1020=1, 1100=1, 1240=1} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","25","287","0.076079616","1","240","228.466257669","0.079784630","1.794856180",,"108","38215"
"4300|910x1,1100x2,1190x1","{910=1, 1100=2, 1190=1} @4300mm (pw=4300, util=100.0%)","false","0","0","2","0.000000000","13","216","0.055842552","1","300","228.466257669","0.013786687","1.046514738","109","3230","52306"
"4360|1000x1,1015x1,1100x1,1240x1","{1000=1, 1015=1, 1100=1, 1240=1} @4360mm (pw=4355, util=99.9%)","false","0","0","0","0.000000000","25","287","0.076079616","1","245","228.466257669","0.057032890","3.093985661",,"109","6368"
"4360|600x1,760x1,840x1,1080x2","{600=1, 760=1, 840=1, 1080=2} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","6","21","0.002443197","2","240","228.466257669","0.079784630","4.540920901",,"43349","109"
"4300|960x2,1190x2","{960=2, 1190=2} @4300mm (pw=4300, util=100.0%)","false","0","0","2","0.000000000","1","4","0.001231527","1","300","228.466257669","0.013786687","1.448841052","110","51096","46563"
"4330|950x1,1015x1,1140x1,1220x1","{950=1, 1015=1, 1140=1, 1220=1} @4330mm (pw=4325, util=99.9%)","false","0","0","0","0.000000000","3","10","0.002981503","2","275","228.466257669","0.021037687","4.538459286",,"39663","110"
"4350|1000x1,1010x1,1100x1,1240x1","{1000=1, 1010=1, 1100=1, 1240=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","25","287","0.076079616","1","250","228.466257669","0.044377893","1.858974360",,"110","36323"
"4300|960x1,1000x1,1100x1,1240x1","{960=1, 1000=1, 1100=1, 1240=1} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","25","287","0.076079616","1","300","228.466257669","0.013786687","2.008705243",,"111","31935"
"4310|970x2,1100x1,1270x1","{970=2, 1100=1, 1270=1} @4310mm (pw=4310, util=100.0%)","true","0","0","2","0.000000000","16","231","0.059381198","0","290","228.466257669","0.015991367","1.877389957","111","1481","35824"
"4400|550x1,600x1,1015x2,1220x1","{550=1, 600=1, 1015=2, 1220=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","2","17","0.002074242","2","200","228.466257669","0.033937123","4.534919865",,"45739","111"
"4320|550x3,760x1,910x1,1000x1","{550=3, 760=1, 910=1, 1000=1} @4320mm (pw=4320, util=100.0%)","false","0","0","2","0.000000000","11","54","0.007911138","1","280","228.466257669","0.019035385","1.515239788","112","23584","45165"
"4380|970x1,1090x1,1100x1,1220x1","{970=1, 1090=1, 1100=1, 1220=1} @4380mm (pw=4380, util=100.0%)","true","0","0","0","0.000000000","19","299","0.076047022","0","220","228.466257669","0.105638367","2.548298457",,"112","16764"
"4390|1015x1,1070x1,1080x1,1220x1","{1015=1, 1070=1, 1080=1, 1220=1} @4390mm (pw=4385, util=99.9%)","false","0","0","0","0.000000000","1","4","0.001305057","3","215","228.466257669","0.069126378","4.534905696",,"50197","112"
"4320|970x1,1100x2,1150x1","{970=1, 1100=2, 1150=1} @4320mm (pw=4320, util=100.0%)","true","0","0","2","0.000000000","17","234","0.059731750","0","280","228.466257669","0.019035385","1.695717094","113","1424","40842"
"4370|550x1,790x1,840x1,1090x1,1100x1","{550=1, 790=1, 840=1, 1090=1, 1100=1} @4370mm (pw=4370, util=100.0%)","true","0","0","0","0.000000000","21","319","0.076037833","0","230","228.466257669","0.394673123","1.905095133",,"113","35007"
"4370|550x1,860x2,1015x1,1080x1","{550=1, 860=2, 1015=1, 1080=1} @4370mm (pw=4365, util=99.9%)","false","0","0","0","0.000000000","2","17","0.001328313","2","235","228.466257669","0.132736156","4.533066335",,"49822","113"
"4390|980x1,1050x1,1100x1,1260x1","{980=1, 1050=1, 1100=1, 1260=1} @4390mm (pw=4390, util=100.0%)","true","0","0","0","0.000000000","23","309","0.076027555","0","210","228.466257669","0.051370942","2.887393409",,"114","9459"
"4400|840x1,1080x1,1220x1,1260x1","{840=1, 1080=1, 1220=1, 1260=1} @4400mm (pw=4400, util=100.0%)","false","0","0","0","0.000000000","8","29","0.008092516","1","200","228.466257669","0.033937123","4.525737675",,"23281","114"
"4340|1015x2,1090x1,1220x1","{1015=2, 1090=1, 1220=1} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","4","75","0.019175684","1","260","228.466257669","0.030737318","4.523906293",,"9632","115"
"4350|550x3,760x1,960x1,980x1","{550=3, 760=1, 960=1, 980=1} @4350mm (pw=4350, util=100.0%)","false","0","0","2","0.000000000","10","102","0.016921702","1","250","228.466257669","0.044377893","1.826775665","115","13412","37297"
"4350|970x1,1090x1,1100x1,1190x1","{970=1, 1090=1, 1100=1, 1190=1} @4350mm (pw=4350, util=100.0%)","true","0","0","0","0.000000000","19","299","0.075973492","0","250","228.466257669","0.044377893","1.681046923",,"115","41226"
"4310|840x1,1090x1,1100x1,1280x1","{840=1, 1090=1, 1100=1, 1280=1} @4310mm (pw=4310, util=100.0%)","true","0","0","0","0.000000000","20","298","0.075871474","0","290","228.466257669","0.015991367","2.179651073",,"116","26896"
"4350|550x3,840x1,860x1,1000x1","{550=3, 840=1, 860=1, 1000=1} @4350mm (pw=4350, util=100.0%)","true","0","0","2","0.000000000","14","55","0.008401426","0","250","228.466257669","0.044377893","2.615530823","116","22819","15101"
"4360|550x1,840x1,870x1,1015x1,1080x1","{550=1, 840=1, 870=1, 1015=1, 1080=1} @4360mm (pw=4355, util=99.9%)","false","0","0","0","0.000000000","5","22","0.001956364","3","245","228.466257669","0.057032890","4.523030705",,"46748","116"
"4340|550x2,1080x3","{550=2, 1080=3} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","1","13","0.000769185","1","260","228.466257669","0.030737318","4.522157424",,"52249","117"
"4350|850x1,1130x2,1240x1","{850=1, 1130=2, 1240=1} @4350mm (pw=4350, util=100.0%)","true","0","0","2","0.000000000","11","140","0.029045258","0","250","228.466257669","0.044377893","1.698833713","117","5133","40737"
"4380|780x1,1100x1,1240x1,1260x1","{780=1, 1100=1, 1240=1, 1260=1} @4380mm (pw=4380, util=100.0%)","false","0","0","0","0.000000000","20","274","0.075793961","1","220","228.466257669","0.105638367","2.518207119",,"117","17461"
"4330|1015x2,1050x1,1250x1","{1015=2, 1050=1, 1250=1} @4330mm (pw=4330, util=100.0%)","false","0","0","0","0.000000000","2","10","0.002991575","1","270","228.466257669","0.023510746","4.522128600",,"39567","118"
"4340|740x1,1100x1,1240x1,1260x1","{740=1, 1100=1, 1240=1, 1260=1} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","20","274","0.075793961","1","260","228.466257669","0.030737318","2.094331753",,"118","29422"
"4350|850x3,860x1,940x1","{850=3, 860=1, 940=1} @4350mm (pw=4350, util=100.0%)","false","0","0","2","0.000000000","5","93","0.012646592","1","250","228.466257669","0.044377893","1.411180790","118","20000","47268"
"4340|550x1,760x1,840x1,1090x1,1100x1","{550=1, 760=1, 840=1, 1090=1, 1100=1} @4340mm (pw=4340, util=100.0%)","true","0","0","0","0.000000000","22","317","0.075694034","0","260","228.466257669","0.030737318","2.278374657",,"119","23976"
"4340|600x1,760x1,950x1,1015x2","{600=1, 760=1, 950=1, 1015=2} @4340mm (pw=4340, util=100.0%)","false","0","0","0","0.000000000","2","12","0.001256018","3","260","228.466257669","0.030737318","4.520258592",,"50654","119"
"4360|550x3,760x1,970x1,980x1","{550=3, 760=1, 970=1, 980=1} @4360mm (pw=4360, util=100.0%)","true","0","0","2","0.000000000","13","114","0.019182015","0","240","228.466257669","0.079784630","2.038884995","119","9623","31031"
"4320|860x1,1090x1,1100x1,1270x1","{860=1, 1090=1, 1100=1, 1270=1} @4320mm (pw=4320, util=100.0%)","true","0","0","0","0.000000000","17","294","0.075550640","0","280","228.466257669","0.019035385","1.916421276",,"120","34665"
"4370|550x3,760x1,960x1,1000x1","{550=3, 760=1, 960=1, 1000=1} @4370mm (pw=4370, util=100.0%)","false","0","0","2","0.000000000","11","54","0.007911138","1","230","228.466257669","0.394673123","1.871646660","120","23568","35973"
"4390|950x1,1080x1,1140x1,1220x1","{950=1, 1080=1, 1140=1, 1220=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","3","10","0.002981503","2","210","228.466257669","0.051370942","4.519360124",,"39645","120"
"4310|550x1,600x1,970x1,1090x1,1100x1","{550=1, 600=1, 970=1, 1090=1, 1100=1} @4310mm (pw=4310, util=100.0%)","false","0","0","0","0.000000000","19","308","0.075511150","1","290","228.466257669","0.015991367","1.729313365",,"121","39994"
"4320|870x1,1050x1,1080x1,1320x1","{870=1, 1050=1, 1080=1, 1320=1} @4320mm (pw=4320, util=100.0%)","false","0","0","0","0.000000000","1","4","0.000919752","3","280","228.466257669","0.019035385","4.517822763",,"52129","121"
"4380|550x3,760x1,970x1,1000x1","{550=3, 760=1, 970=1, 1000=1} @4380mm (pw=4380, util=100.0%)","true","0","0","2","0.000000000","14","66","0.010171451","0","220","228.466257669","0.105638367","2.083755990","121","21311","29713"
"4300|1015x1,1080x2,1125x1","{1015=1, 1080=2, 1125=1} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","1","6","0.001757469","2","300","228.466257669","0.013786687","4.514872952",,"47565","122"
"4380|550x3,840x1,910x1,980x1","{550=3, 840=1, 910=1, 980=1} @4380mm (pw=4380, util=100.0%)","false","0","0","2","0.000000000","12","99","0.016852862","1","220","228.466257669","0.105638367","1.799862629","122","13571","38086"
