patternSignature,patternReadable,currentEligible,manual31ColumnCount,manual65PatternCount,lpColumnCount,positiveLpActivity,coveredResidualOrders,coveredResidualQuantity,coverageScarcity,missingResidualWidths,wastePerCar,targetResidualWastePerCar,wasteFit,demandDualUpperBound,lpPoolDensityRank,orderCoverageFrontierRank,lpDualWeightedRank
"4360|550x1,600x1,1015x1,1090x1,1100x1","{550=1, 600=1, 1015=1, 1090=1, 1100=1} @4360mm (pw=4355, util=99.9%)","false","0","0","0","0.000000000","16","296","0.073250837","2","245","228.466257669","0.057032890","2.602484453",,"275","15442"
"4380|600x1,840x1,870x1,1015x1,1050x1","{600=1, 840=1, 870=1, 1015=1, 1050=1} @4380mm (pw=4375, util=99.9%)","false","0","0","0","0.000000000","5","13","0.002106930","3","225","228.466257669","0.223901099","4.260469979",,"45627","276"
"4390|550x1,740x1,910x1,1090x1,1100x1","{550=1, 740=1, 910=1, 1090=1, 1100=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","2","210","228.466257669","0.051370942","0.909006675",,"276","53212"
"4360|550x1,600x1,1050x1,1080x2","{550=1, 600=1, 1050=1, 1080=2} @4360mm (pw=4360, util=100.0%)","false","0","0","0","0.000000000","2","17","0.001688937","2","240","228.466257669","0.079784630","4.259596698",,"47951","277"
"4390|550x1,780x1,870x1,1090x1,1100x1","{550=1, 780=1, 870=1, 1090=1, 1100=1} @4390mm (pw=4390, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","2","210","228.466257669","0.051370942","1.996363355",,"277","32305"
"4350|550x1,600x1,1010x1,1090x1,1100x1","{550=1, 600=1, 1010=1, 1090=1, 1100=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","2","250","228.466257669","0.044377893","1.367473152",,"278","48073"
"4390|840x3,850x1,1015x1","{840=3, 850=1, 1015=1} @4390mm (pw=4385, util=99.9%)","false","0","0","0","0.000000000","8","98","0.013274643","1","215","228.466257669","0.069126378","4.259380848",,"19274","278"
"4350|550x1,740x1,870x1,1090x1,1100x1","{550=1, 740=1, 870=1, 1090=1, 1100=1} @4350mm (pw=4350, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","2","250","228.466257669","0.044377893","1.572487989",,"279","43892"
"4370|760x1,1050x1,1080x1,1480x1","{760=1, 1050=1, 1080=1, 1480=1} @4370mm (pw=4370, util=100.0%)","false","0","0","0","0.000000000","4","17","0.002739786","1","230","228.466257669","0.394673123","4.258146248",,"41677","279"
"4300|550x1,600x1,960x1,1090x1,1100x1","{550=1, 600=1, 960=1, 1090=1, 1100=1} @4300mm (pw=4300, util=100.0%)","false","0","0","0","0.000000000","16","296","0.073250837","2","300","228.466257669","0.013786687","1.517204035",,"280","45137"
"4310|600x1,840x2,950x1,1080x1","{600=1, 840=2, 950=1, 1080=1} @4310mm (pw=4310, util=100.0%)","false","0","0","0","0.000000000","4","9","0.001187178","3","290","228.466257669","0.015991367","4.257043431",,"51657","280"
"4310|840x1,1100x1,1125x1,1240x1","{840=1, 1100=1, 1125=1, 1240=1} @4310mm (pw=4305, util=99.9%)","true","0","0","0","0.000000000","22","273","0.073138329","0","295","228.466257669","0.014807413","2.153318620",,"281","27707"
