"inclusionReason","patternSignature","patternReadable","eligible","ineligibleReason","manual31ColumnCount","manual65PatternCount","lpActivity","residualScarcity","coveredResidualOrders","wasteFit","structuralScore","baselineScore","baselineRank","baselineTop60","baselineTop120","lambda0Score","lambda0Rank","lambda0Top60","lambda0Top120","lambda10Score","lambda10Rank","lambda10Top60","lambda10Top120","baselineToLambda0RankDelta","baselineToLambda10RankDelta"
"TARGET_ORACLE|BASELINE_TOP120","4390|1000x1,1100x2,1190x1","{1000=1, 1100=2, 1190=1} @4390mm (pw=4390, util=100.0%)","true","","1","1","0.596879280","0.389825209","21","0.051370942","599.876579942","597479.156579942","20","true","true","599.876579942","310","false","false","605.845372742","303","false","false","290","283"
"TARGET_ORACLE","4390|780x4,1270x1","{780=4, 1270=1} @4390mm (pw=4390, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:780","1","1","","","","","","","","false","false","","","false","false","","","false","false","",""
"TARGET_ORACLE","4400|550x1,940x1,970x3","{550=1, 940=1, 970=3} @4400mm (pw=4400, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:940","2","2","","","","","","","","false","false","","","false","false","","","false","false","",""
"TARGET_ORACLE","4400|850x1,1070x1,1240x2","{850=1, 1070=1, 1240=2} @4400mm (pw=4400, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:1070","1","1","","","","","","","","false","false","","","false","false","","","false","false","",""
"TARGET_ORACLE","4400|850x3,870x1,980x1","{850=3, 870=1, 980=1} @4400mm (pw=4400, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:870","1","1","","","","","","","","false","false","","","false","false","","","false","false","",""
"TARGET_ORACLE","4400|960x1,1100x2,1240x1","{960=1, 1100=2, 1240=1} @4400mm (pw=4400, util=100.0%)","false","MISSING_RESIDUAL_WIDTH:960","1","1","","","","","","","","false","false","","","false","false","","","false","false","",""
"BASELINE_TOP120","4400|850x1,860x3,970x1","{850=1, 860=3, 970=1} @4400mm (pw=4400, util=100.0%)","true","","0","0","4.405415912","0.119178559","8","0.033937123","199.212496123","4405615.124496120","1","true","true","199.212496123","2620","false","false","243.266655243","1690","false","false","2619","1689"
"BASELINE_TOP120","4400|760x1,850x2,970x2","{760=1, 850=2, 970=2} @4400mm (pw=4400, util=100.0%)","true","","0","4","4.308931385","0.126310904","9","0.033937123","216.344841123","4309147.729841120","2","true","true","216.344841123","2242","false","false","259.434154973","1469","false","false","2240","1467"
"BASELINE_TOP120","4400|550x1,850x1,1000x3","{550=1, 850=1, 1000=3} @4400mm (pw=4400, util=100.0%)","true","","0","1","2.821096032","0.146858216","13","0.033937123","276.892153123","2821372.924153120","3","true","true","276.892153123","1330","false","false","305.103113443","1191","false","false","1327","1188"
"BASELINE_TOP120","4360|1000x2,1100x1,1260x1","{1000=2, 1100=1, 1260=1} @4360mm (pw=4360, util=100.0%)","true","","0","3","2.200000000","0.416931918","23","0.079784630","647.011702630","2200647.011702630","4","true","true","647.011702630","213","false","false","669.011702630","137","false","false","209","133"
"BASELINE_TOP120","4400|970x2,980x1,1480x1","{970=2, 980=1, 1480=1} @4400mm (pw=4400, util=100.0%)","true","","0","0","2.083636778","0.122767687","11","0.033937123","232.801624123","2083869.579624120","5","true","true","232.801624123","1876","false","false","253.637991903","1544","false","false","1871","1539"
